clique,tamanho,participantes
33,29,P001;P007;P013;P015;P025;P041;P043;P044;P048;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P111;P116;P121;P122;P126;P131;P133;P_TESTE
34,29,P001;P007;P013;P015;P025;P041;P043;P048;P049;P055;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133;P_TESTE
35,29,P001;P007;P013;P015;P025;P041;P048;P049;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P122;P126;P131;P_TESTE
36,29,P004;P005;P007;P013;P015;P018;P022;P025;P035;P041;P048;P056;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P126;P131;P_TESTE
37,29,P004;P005;P007;P013;P015;P018;P025;P041;P048;P049;P059;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131;P_TESTE
38,29,P004;P005;P007;P013;P015;P018;P025;P041;P048;P056;P066;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131;P_TESTE
39,29,P004;P005;P007;P013;P015;P018;P025;P041;P048;P059;P066;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131;P_TESTE
40,29,P004;P005;P007;P013;P015;P022;P025;P041;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P103;P111;P116;P117;P126;P131;P_TESTE
41,29,P005;P007;P013;P015;P022;P025;P041;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P122;P126;P131;P_TESTE
42,29,P005;P007;P013;P015;P022;P025;P041;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131;P_TESTE
43,29,P005;P007;P013;P015;P022;P025;P043;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P104;P111;P116;P121;P122;P126;P131;P133;P_TESTE
44,29,P005;P007;P013;P015;P022;P025;P043;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P104;P111;P116;P122;P126;P131;P133;P_TESTE
45,29,P005;P007;P013;P015;P022;P025;P043;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P104;P111;P116;P121;P122;P126;P131;P133;P_TESTE
46,29,P005;P007;P013;P015;P025;P041;P043;P044;P048;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P111;P116;P121;P122;P126;P131;P133;P_TESTE
47,29,P005;P007;P013;P015;P025;P041;P043;P048;P049;P055;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133;P_TESTE
48,29,P005;P007;P013;P015;P025;P041;P048;P049;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P122;P126;P131;P_TESTE
49,28,P001;P004;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131;P_TESTE
50,28,P001;P004;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P111;P116;P121;P126;P131;P133;P_TESTE
51,28,P001;P004;P007;P013;P015;P018;P025;P041;P048;P049;P059;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131;P_TESTE
52,28,P001;P004;P007;P013;P015;P018;P025;P041;P048;P056;P066;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131;P_TESTE
53,28,P001;P004;P007;P013;P015;P018;P025;P041;P048;P059;P066;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131;P_TESTE
54,28,P001;P004;P007;P013;P015;P022;P036;P041;P043;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P121;P126;P131;P133;P_TESTE
55,28,P001;P007;P013;P015;P018;P025;P041;P043;P044;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P111;P116;P121;P126;P131;P_TESTE
56,28,P001;P007;P013;P015;P018;P025;P041;P043;P048;P053;P056;P071;P072;P077;P081;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P126;P131;P_TESTE
