comunidade,tamanho,participante_mais_central,pagerank_participante_mais_central,vertices_ponte_principais
1,52,P015,0.0233866421023613,P015;P099;P092
2,48,P111,0.0194763206427246,P005;P111;P049
3,8,P013,0.0200066598078834,P013;P067;P045
4,2,P132,0.0050962093451475,P132;P029
