comunidade,tamanho,arestas_internas,densidade_interna,forca_media,pagerank_total,participante_mais_central,pagerank_participante_mais_central
1,25,216,0.72,8.961666666666668,0.5019791074171337,P126,0.0308854977711783
2,16,60,0.5,5.604640151515151,0.21846870983449962,P111,0.0259548340627379
3,3,2,0.6666666666666666,5.578282828282828,0.040735357750702306,P013,0.0299891842259376
