posicao,participante_id,pagerank,grau,forca,betweenness,comunidade
1,P126,0.03088549777117836,37,13.825757575757578,0.006357103372028746,1
2,P015,0.0301069672875626,33,14.350378787878785,0.007849640685461581,1
3,P013,0.029989184225937698,37,13.734848484848484,0.005638474295190713,3
4,P_TESTE,0.029940571254272144,36,13.725378787878787,0.004477611940298508,1
5,P099,0.02966814407567178,34,12.594696969696969,0.008955223880597015,1
6,P116,0.027845069086339998,34,13.062500000000002,0.0014372581536760641,1
7,P092,0.02765964455991786,34,12.479166666666668,0.003703703703703704,1
8,P081,0.026405755664408916,33,12.403409090909092,0.0007739082365948038,1
9,P131,0.02601268447780927,34,11.981060606060606,0.001658374792703151,1
10,P111,0.025954834062737974,35,11.929924242424242,0.0013266998341625207,2
11,P007,0.025919270230988205,34,12.075757575757574,0.0001658374792703151,1
12,P094,0.02482116742596172,31,11.69128787878788,0.0001105583195135434,1
13,P018,0.024762890485698116,32,11.320075757575758,0.003316749585406302,1
14,P087,0.02384890180365405,33,11.115530303030303,0.0,1
15,P103,0.023786694173554397,33,10.753787878787877,0.0001105583195135434,1
16,P098,0.02163489753670939,30,10.037878787878789,0.0,1
17,P072,0.021589887967664863,32,9.80113636363636,0.0,2
18,P117,0.020069093065226664,27,9.268939393939393,0.0,1
19,P088,0.019697933676438007,31,8.977272727272728,0.0,2
20,P041,0.01951654966827407,29,7.8125,0.004643449419568822,2
21,P005,0.019363569944702237,31,8.840909090909088,0.0,1
22,P004,0.01832892285244223,23,7.755681818181819,0.0002211166390270868,1
23,P071,0.01776258730318373,27,7.587121212121212,0.0001105583195135434,2
24,P077,0.01744231156823783,29,7.825757575757575,0.0,2
25,P048,0.017233281035094354,28,7.181818181818182,0.000552791597567717,2
26,P056,0.016040732548792312,26,6.854166666666666,0.0,2
27,P106,0.015618467198113358,24,6.93560606060606,0.0,1
28,P025,0.01409620605774107,24,6.159090909090909,0.0,1
29,P133,0.012916221514250035,21,5.524621212121212,0.0,2
30,P091,0.01287780926860839,22,5.507575757575758,0.0,1
31,P121,0.012764068279014166,21,5.153409090909092,0.0,2
32,P049,0.012471556831213685,22,5.246212121212121,0.0,2
33,P066,0.012106160184450097,20,5.077651515151516,0.0,1
34,P022,0.007766090916202752,12,2.740530303030303,0.0,2
35,P059,0.005906168276084635,8,1.7784090909090906,0.0,1
36,P001,0.0057053017643441915,7,1.6818181818181817,0.0,3
37,P060,0.005235473339065739,5,1.0965909090909092,0.0,2
38,P037,0.005178960968232816,5,1.0757575757575757,0.0,2
39,P043,0.005040871760420674,6,1.3181818181818181,0.0,3
40,P002,0.0038967228970110965,3,0.6893939393939394,0.0,1
41,P044,0.0038358938019073816,3,0.6477272727272727,0.0,2
42,P078,0.003412460715018659,2,0.4071969696969697,0.0,1
43,P053,0.0030623263541906245,1,0.2196969696969697,0.0,2
44,P084,0.003005371124010072,1,0.20454545454545456,0.0,1
45,P003,0.002595835054322403,0,0.0,0.0,4
46,P006,0.002595835054322403,0,0.0,0.0,5
47,P008,0.002595835054322403,0,0.0,0.0,6
48,P009,0.002595835054322403,0,0.0,0.0,7
49,P010,0.002595835054322403,0,0.0,0.0,8
50,P011,0.002595835054322403,0,0.0,0.0,9
51,P012,0.002595835054322403,0,0.0,0.0,10
52,P014,0.002595835054322403,0,0.0,0.0,11
53,P016,0.002595835054322403,0,0.0,0.0,12
54,P017,0.002595835054322403,0,0.0,0.0,13
55,P019,0.002595835054322403,0,0.0,0.0,14
56,P020,0.002595835054322403,0,0.0,0.0,15
57,P021,0.002595835054322403,0,0.0,0.0,16
58,P023,0.002595835054322403,0,0.0,0.0,17
59,P024,0.002595835054322403,0,0.0,0.0,18
60,P026,0.002595835054322403,0,0.0,0.0,19
61,P027,0.002595835054322403,0,0.0,0.0,20
62,P028,0.002595835054322403,0,0.0,0.0,21
63,P029,0.002595835054322403,0,0.0,0.0,22
64,P030,0.002595835054322403,0,0.0,0.0,23
65,P031,0.002595835054322403,0,0.0,0.0,24
66,P032,0.002595835054322403,0,0.0,0.0,25
67,P033,0.002595835054322403,0,0.0,0.0,26
68,P034,0.002595835054322403,0,0.0,0.0,27
