comunidade,tamanho,participante_mais_central,pagerank_participante_mais_central,vertices_ponte_principais
1,25,P126,0.0308854977711783,P099;P015;P126
2,16,P111,0.0259548340627379,P041;P111;P048
3,3,P013,0.0299891842259376,P013;P001;P043
