participante_id,grau,forca,centralidade_grau,betweenness,agrupamento_local,pagerank,componente,comunidade
P001,7,1.6818181818181817,0.05185185185185186,0.0,0.4172084762115181,0.0057053017643441915,1,3
P002,3,0.6893939393939394,0.022222222222222223,0.0,0.39813574976707083,0.0038967228970110965,1,1
P003,0,0.0,0.0,0.0,0.0,0.002595835054322403,2,4
P004,23,7.755681818181819,0.17037037037037037,0.0002211166390270868,0.4083288277876931,0.01832892285244223,1,1
P005,31,8.840909090909088,0.22962962962962963,0.0,0.3602763144346279,0.019363569944702237,1,1
P006,0,0.0,0.0,0.0,0.0,0.002595835054322403,3,5
P007,34,12.075757575757574,0.2518518518518519,0.0001658374792703151,0.3720911978638552,0.025919270230988205,1,1
P008,0,0.0,0.0,0.0,0.0,0.002595835054322403,4,6
P009,0,0.0,0.0,0.0,0.0,0.002595835054322403,5,7
P010,0,0.0,0.0,0.0,0.0,0.002595835054322403,6,8
P011,0,0.0,0.0,0.0,0.0,0.002595835054322403,7,9
P012,0,0.0,0.0,0.0,0.0,0.002595835054322403,8,10
P013,37,13.734848484848484,0.2740740740740741,0.005638474295190713,0.3411178730428317,0.029989184225937698,1,3
P014,0,0.0,0.0,0.0,0.0,0.002595835054322403,9,11
P015,33,14.350378787878785,0.24444444444444446,0.007849640685461581,0.4428801490049883,0.0301069672875626,1,1
P016,0,0.0,0.0,0.0,0.0,0.002595835054322403,10,12
P017,0,0.0,0.0,0.0,0.0,0.002595835054322403,11,13
P018,32,11.320075757575758,0.23703703703703705,0.003316749585406302,0.37721446566009215,0.024762890485698116,1,1
P019,0,0.0,0.0,0.0,0.0,0.002595835054322403,12,14
P020,0,0.0,0.0,0.0,0.0,0.002595835054322403,13,15
P021,0,0.0,0.0,0.0,0.0,0.002595835054322403,14,16
P022,12,2.740530303030303,0.08888888888888889,0.0,0.36738207955877,0.007766090916202752,1,2
P023,0,0.0,0.0,0.0,0.0,0.002595835054322403,15,17
P024,0,0.0,0.0,0.0,0.0,0.002595835054322403,16,18
P025,24,6.159090909090909,0.17777777777777778,0.0,0.38105640140778935,0.01409620605774107,1,1
P026,0,0.0,0.0,0.0,0.0,0.002595835054322403,17,19
P027,0,0.0,0.0,0.0,0.0,0.002595835054322403,18,20
P028,0,0.0,0.0,0.0,0.0,0.002595835054322403,19,21
P029,0,0.0,0.0,0.0,0.0,0.002595835054322403,20,22
P030,0,0.0,0.0,0.0,0.0,0.002595835054322403,21,23
P031,0,0.0,0.0,0.0,0.0,0.002595835054322403,22,24
P032,0,0.0,0.0,0.0,0.0,0.002595835054322403,23,25
P033,0,0.0,0.0,0.0,0.0,0.002595835054322403,24,26
P034,0,0.0,0.0,0.0,0.0,0.002595835054322403,25,27
P035,0,0.0,0.0,0.0,0.0,0.002595835054322403,26,28
P036,0,0.0,0.0,0.0,0.0,0.002595835054322403,27,29
P037,5,1.0757575757575757,0.037037037037037035,0.0,0.22443498051715802,0.005178960968232816,1,2
P038,0,0.0,0.0,0.0,0.0,0.002595835054322403,28,30
P039,0,0.0,0.0,0.0,0.0,0.002595835054322403,29,31
P040,0,0.0,0.0,0.0,0.0,0.002595835054322403,30,32
P041,29,7.8125,0.21481481481481482,0.004643449419568822,0.33923792321683505,0.01951654966827407,1,2
P042,0,0.0,0.0,0.0,0.0,0.002595835054322403,31,33
P043,6,1.3181818181818181,0.044444444444444446,0.0,0.37197439612491906,0.005040871760420674,1,3
