comunidade,tamanho,participante_mais_central,pagerank_participante_mais_central,vertices_ponte_principais
1,51,P015,0.024065221383973,P015;P099;P092
2,50,P111,0.0199858777839339,P111;P005;P049
3,8,P013,0.0205559247106176,P013;P067;P045
