participante_id,grau,forca,centralidade_grau,betweenness,agrupamento_local,pagerank,componente,comunidade
P001,68,19.81761142682928,0.5074626865671642,0.005517525156174017,0.24271657759382184,0.015763386520617487,1,1
P002,42,11.614170046506722,0.31343283582089554,0.0008977668050723825,0.29447018925364377,0.009951033827257729,1,1
P003,20,4.554385166235312,0.14925373134328357,0.0,0.29312783402738096,0.0048604975105452745,1,1
P004,68,21.76238737260034,0.5074626865671642,0.00993154528111323,0.25532809506682075,0.017464109489607773,1,1
P005,63,20.343575007540235,0.47014925373134325,0.013242060374817642,0.2903918358472148,0.016776386651298943,1,2
P006,2,0.414578098794425,0.014925373134328358,0.0,0.36167276124389747,0.0016157579952924233,1,1
P007,74,25.587844305546263,0.5522388059701493,0.024328545243706277,0.26916844107996096,0.019868182987953065,1,1
P008,37,9.092642058144733,0.27611940298507465,0.00044888340253619125,0.30032813492193927,0.007784402472116149,1,2
P009,26,6.739147740096151,0.19402985074626866,0.0005611042531702391,0.32350788013428733,0.0065021292123970615,1,1
P010,0,0.0,0.0,0.0,0.0,0.0013286099021077656,2,4
P011,0,0.0,0.0,0.0,0.0,0.0013286099021077656,3,5
P012,6,1.4336050255124155,0.04477611940298507,0.0,0.33751234052507173,0.002578953298083426,1,1
P013,73,26.287786873497424,0.5447761194029851,0.02339804735719897,0.2782957151659859,0.02055592471061767,1,3
P014,1,0.2447967036877001,0.007462686567164179,0.0,0.0,0.001500192094120584,1,2
P015,84,30.84482669051941,0.6268656716417911,0.07356076759061833,0.24424332518350428,0.024065221383973084,1,1
P016,3,0.67700320038633,0.022388059701492536,0.0,0.3868148654286922,0.001790845278194209,1,2
P017,0,0.0,0.0,0.0,0.0,0.0013286099021077656,4,6
P018,65,22.33507999993035,0.48507462686567165,0.013578722926719786,0.28292762732274623,0.017608427782346617,1,1
P019,0,0.0,0.0,0.0,0.0,0.0013286099021077656,5,7
P020,27,6.826164897800424,0.20149253731343283,0.0,0.3604595410462949,0.006078913143954036,1,2
P021,12,2.5849213105659876,0.08955223880597014,0.0,0.3585950641736077,0.003183719629910153,1,1
P022,51,15.103774508739567,0.3805970149253731,0.00033666255190214345,0.3365892219893018,0.011726695850918904,1,2
P023,0,0.0,0.0,0.0,0.0,0.0013286099021077656,6,8
P024,15,3.338856692814401,0.11194029850746269,0.0,0.3279221471877216,0.0038421851838477605,1,3
P025,61,19.85248040223821,0.4552238805970149,0.004432723600044888,0.30420468409492896,0.015366897670633364,1,2
P026,0,0.0,0.0,0.0,0.0,0.0013286099021077656,7,9
P027,7,1.6466051057477826,0.05223880597014925,0.0,0.42297341472248773,0.0024276963058331665,1,1
P028,18,3.8158362203593157,0.13432835820895522,0.0,0.3460452137799412,0.0038878884191177955,1,2
P029,7,1.7489224288775902,0.05223880597014925,0.0,0.370124315465284,0.00253698115935575,1,2
P030,34,7.95003812582325,0.2537313432835821,0.0,0.3362760011671578,0.006796704142227087,1,1
P031,22,5.22813744900764,0.16417910447761194,0.0,0.3558505946692209,0.004978773094111146,1,1
P032,6,1.286592603640835,0.04477611940298507,0.0,0.2405733209588702,0.0026883773152503792,1,2
P033,0,0.0,0.0,0.0,0.0,0.0013286099021077656,8,10
P034,16,3.630285672920692,0.11940298507462686,0.00011222085063404781,0.270595697902025,0.00436812220581362,1,1
P035,38,9.730407365434248,0.2835820895522388,0.0,0.36753525067647413,0.007856235642051408,1,2
P036,37,10.0878823134291,0.27611940298507465,0.0,0.37856494718988976,0.008095389864071378,1,2
P037,43,12.148924701214046,0.3208955223880597,0.0006733251038042869,0.3363822985777252,0.009887059502489562,1,2
P038,3,0.6906009704272427,0.022388059701492536,0.0,0.4063870700474778,0.0017964627807971231,1,3
P039,6,1.3136853128033121,0.04477611940298507,0.0,0.36165378032458856,0.002249075273665556,1,1
P040,22,4.877500330056059,0.16417910447761194,0.0005236973029588897,0.288839188992275,0.0052236356989500046,1,2
P041,55,18.5121672248826,0.41044776119402987,0.00536789735532862,0.35805700619822334,0.014267975898171782,1,2
P042,11,2.641268853015914,0.08208955223880597,0.0,0.24616376473719828,0.003714578197277442,1,1
P043,54,15.308749174948328,0.40298507462686567,0.0012110500130924323,0.2958903396667946,0.012209903414113361,1,2
P044,43,12.62644453954805,0.3208955223880597,0.0,0.3727124724117663,0.009964083619733555,1,2
P045,15,3.431175311048899,0.11194029850746269,0.0,0.33418401735947423,0.0038963838570963342,1,3
P046,24,6.028117475801348,0.1791044776119403,0.0,0.37044789002516093,0.005559460560336188,1,1
P047,23,5.85149747791466,0.17164179104477612,0.00022444170126809562,0.3690770662397832,0.005401662491209999,1,2
P048,56,18.332811815543163,0.417910447761194,0.0011222085063404782,0.3528425008484533,0.013871385747517277,1,2
P049,50,14.767862599400484,0.3731343283582089,0.010099876557064303,0.32027553688051685,0.01197008432257814,1,2
P050,0,0.0,0.0,0.0,0.0,0.0013286099021077656,9,11
P051,15,3.7248416196012895,0.11194029850746269,0.0,0.34216367271835113,0.004109311377474634,1,1
P052,24,5.805542768063005,0.1791044776119403,0.0,0.3467104946956414,0.005339101256447665,1,1
P053,39,10.472625420916964,0.291044776119403,0.0007855459544383347,0.33739347761661737,0.008838258344592155,1,2
P054,32,8.199130139488457,0.23880597014925373,0.00039277297721916735,0.311353467146229,0.007316134058020978,1,1
P055,44,11.939017453061334,0.3283582089552239,0.0017394231848277411,0.320671955330172,0.009779217604775008,1,2
P056,58,19.45506603114514,0.43283582089552236,0.002618486514794449,0.3383173491366164,0.014852755827282774,1,2
P057,0,0.0,0.0,0.0,0.0,0.0013286099021077656,10,12
P058,29,7.049820389402109,0.21641791044776118,0.00011222085063404781,0.324156784694879,0.006272979975619193,1,2
P059,41,11.987482211544393,0.30597014925373134,0.0,0.3461721990958197,0.009728562276584633,1,1
P060,35,9.975299960388345,0.26119402985074625,0.00022444170126809562,0.3688152520673387,0.008161878116241549,1,2
P061,0,0.0,0.0,0.0,0.0,0.0013286099021077656,11,13
P062,34,7.600899567973794,0.2537313432835821,0.0,0.3379812995297051,0.006477599487414461,1,2
P063,0,0.0,0.0,0.0,0.0,0.0013286099021077656,12,14
P064,32,7.744993990148209,0.23880597014925373,0.0,0.3139162526105683,0.006613577068938257,1,2
P065,0,0.0,0.0,0.0,0.0,0.0013286099021077656,13,15
P066,38,12.139075799852453,0.2835820895522388,0.00022444170126809562,0.3923809501602731,0.009949460178996086,1,1
P067,5,1.0462776733243284,0.03731343283582089,0.00011222085063404781,0.19451608675109172,0.002327664910645239,1,3
P068,0,0.0,0.0,0.0,0.0,0.0013286099021077656,14,16
P069,10,2.3408568864785435,0.07462686567164178,0.012007631017843115,0.29558709189413274,0.004351263292266965,1,1
P070,22,4.677476657214643,0.16417910447761194,0.0,0.3319276696768934,0.004578293338290593,1,1
P071,59,20.122091670786556,0.44029850746268656,0.0035162533198668314,0.33424863354868645,0.01528625461534403,1,2
P072,68,23.216482979513128,0.5074626865671642,0.004993827853215128,0.2965428824926933,0.017699170355451946,1,2
P073,1,0.24618298195866548,0.007462686567164179,0.0,0.0,0.0017177266271047552,1,1
P074,0,0.0,0.0,0.0,0.0,0.0013286099021077656,15,17
P075,0,0.0,0.0,0.0,0.0,0.0013286099021077656,16,18
P076,0,0.0,0.0,0.0,0.0,0.0013286099021077656,17,19
P077,56,17.64705828743902,0.417910447761194,0.004769386151947032,0.30937160219704857,0.01389834123624123,1,2
P078,23,6.423782919853159,0.17164179104477612,0.012007631017843115,0.35723483631448544,0.007015748487029125,1,1
P079,21,5.125894799118711,0.15671641791044777,0.0,0.38521887169230506,0.004751719525388516,1,2
P080,45,11.769878572863258,0.33582089552238803,0.00013092432573972242,0.3150319853976905,0.009500046142564984,1,2
P081,72,25.392012356701617,0.5373134328358209,0.019077544607788127,0.27132854367451087,0.02014840267642072,1,1
P082,37,10.51768706075286,0.27611940298507465,0.0,0.38981961301326956,0.00838720620572314,1,2
P083,0,0.0,0.0,0.0,0.0,0.0013286099021077656,18,20
P084,17,4.579045161089113,0.12686567164179105,0.0,0.32406180415234637,0.0049966379528699235,1,1
P085,12,2.571831735237799,0.08955223880597014,0.0,0.33340427310493853,0.003076584699648152,1,1
P086,45,10.995876583124959,0.33582089552238803,0.010511353009389145,0.24262314917846645,0.00981116257571484,1,1
P087,62,21.876099191243938,0.4626865671641791,0.0038295365278868815,0.3211179024293683,0.01676761547399014,1,2
P088,61,20.267742356293983,0.4552238805970149,0.0035302809261960875,0.3137329881889706,0.015574909504354478,1,2
P089,0,0.0,0.0,0.0,0.0,0.0013286099021077656,19,21
P090,0,0.0,0.0,0.0,0.0,0.0013286099021077656,20,22
P091,56,18.03857134949335,0.417910447761194,0.0015710919088766694,0.3342263906454413,0.013996547227844928,1,2
P092,79,27.089412041239363,0.5895522388059702,0.0448836643848427,0.2398942189751888,0.02190067807400521,1,1
P093,15,3.8328544257720987,0.11194029850746269,0.012007631017843115,0.32739509425603613,0.0051987448691063936,1,1
P094,72,25.922781140795994,0.5373134328358209,0.017712190925073878,0.2808439657269501,0.0200227966178056,1,1
P095,0,0.0,0.0,0.0,0.0,0.0013286099021077656,21,23
P096,18,3.8312226567317316,0.13432835820895522,0.0,0.3515021827402028,0.004052372895428474,1,1
P097,6,1.3343703619505287,0.04477611940298507,0.0,0.28642288058671467,0.0026958938091866448,1,2
P098,64,21.34059144961519,0.47761194029850745,0.004152171473459769,0.2964977454666172,0.016520561959285397,1,1
P099,75,27.108006853708424,0.5597014925373134,0.056578012194665774,0.2579771035210762,0.021527545188688012,1,1
P100,24,5.231388366621639,0.1791044776119403,0.00013092432573972242,0.27702333263204926,0.00554067195117855,1,2
P101,21,4.662090220842227,0.15671641791044777,0.0,0.3214602500837426,0.0048483927440495555,1,1
P102,12,2.7369172869645038,0.08955223880597014,0.0,0.32845402796275874,0.0032716796201398383,1,2
P103,61,20.192184338942727,0.4552238805970149,0.010586166909811843,0.29791816646982483,0.016013898115799487,1,1
P104,44,11.825330145158443,0.3283582089552239,5.6110425317023906e-05,0.3019621520460086,0.009853729037953653,1,2
P105,24,5.815130823949449,0.1791044776119403,0.0,0.30173266337318577,0.005884271704440801,1,1
P106,44,15.297994961016373,0.3283582089552239,0.0013466502076085738,0.3808343100889994,0.012086968902600512,1,1
P107,0,0.0,0.0,0.0,0.0,0.0013286099021077656,22,24
P108,14,3.0311279653660685,0.1044776119402985,0.0,0.3311868039580943,0.0036091163110570637,1,3
P109,17,3.8736740050520817,0.12686567164179105,0.0010099876557064303,0.28682540865153194,0.00428317509315986,1,1
P110,0,0.0,0.0,0.0,0.0,0.0013286099021077656,23,25
P111,73,26.43214762280619,0.5447761194029851,0.013410391650768714,0.28758024831098705,0.019985877783933972,1,2
P112,2,0.44620665480008115,0.014925373134328358,0.0,0.39618322500858955,0.0016341517406849087,1,1
P113,10,2.357618077263834,0.07462686567164178,0.0,0.36976653073845195,0.003031341626745667,1,1
P114,6,1.2463013461657442,0.04477611940298507,0.0,0.23456988475810447,0.002432435436434163,1,3
P115,14,3.233448499251712,0.1044776119402985,0.0,0.2931662019232831,0.003973086115723266,1,3
P116,75,26.502923211312897,0.5597014925373134,0.016496465043205028,0.27125933916344924,0.020361305661686473,1,1
P117,64,21.364343430441068,0.47761194029850745,0.010787229267197846,0.2829545566726323,0.017537000584347658,1,1
P118,1,0.20100756305184242,0.007462686567164179,0.0,0.0,0.001560372465146267,1,1
P119,11,2.477216255959071,0.08208955223880597,0.0,0.3169008673126706,0.0030859173497466974,1,2
P120,0,0.0,0.0,0.0,0.0,0.0013286099021077656,24,26
P121,51,16.21744397847527,0.3805970149253731,0.0006733251038042869,0.36433062990051557,0.012460899104236147,1,2
P122,50,13.498786964367165,0.3731343283582089,0.0013045673886208059,0.29439928039129565,0.011046649174972252,1,2
P123,24,6.1873978211132,0.1791044776119403,0.00011222085063404781,0.32516390051061056,0.006094797377278007,1,1
P124,37,9.91341425605284,0.27611940298507465,0.0,0.37221167216726814,0.007995470488822657,1,2
P125,0,0.0,0.0,0.0,0.0,0.0013286099021077656,25,27
P126,77,27.778822562394478,0.5746268656716418,0.042176336363296305,0.2611180449879917,0.0219826378891422,1,1
P127,0,0.0,0.0,0.0,0.0,0.0013286099021077656,26,28
P128,14,3.1080601472281515,0.1044776119402985,0.0,0.37422101258334156,0.0034128510964707617,1,2
P129,0,0.0,0.0,0.0,0.0,0.0013286099021077656,27,29
P130,1,0.2000236728414157,0.007462686567164179,0.0,0.0,0.0015143069518282698,1,1
P131,64,23.472126028407963,0.47761194029850745,0.006354505667152958,0.33217311018405016,0.017657420434266945,1,2
P132,21,5.4048553102501335,0.15671641791044777,0.0,0.3861845123723637,0.0050908606279230564,1,2
P133,56,16.58654483554163,0.417910447761194,0.0015710919088766694,0.3001203798405612,0.01308026231749304,1,2
P134,24,5.95262486109077,0.1791044776119403,0.0005611042531702391,0.31941580836797073,0.005931310860789097,1,1
P135,16,3.6119874921824584,0.11940298507462686,0.001795533610144765,0.27901202483165066,0.004420777938906906,1,2
