modelo,gamma,theta,vertices,arestas,densidade,componentes,componentes_unitarias,maior_componente,grau_medio,peso_medio_arestas,comunidades_maior_componente,participante_mais_central
cobertura_linear,1.0,0.2,136,515,0.0561002178649237,93,92,44,7.573529411764706,0.3208259782288908,3,P126
cobertura_suavizada,0.5,0.2,136,1961,0.2136165577342048,27,26,110,28.83823529411765,0.3035903640907413,4,P015
