posicao,participante_id,pagerank,grau,forca,betweenness,comunidade
1,P126,0.032059528182669376,36,13.081439393939396,0.008809336774772754,1
2,P013,0.03128339441485935,36,13.212121212121211,0.006059925934238582,2
3,P015,0.031192228118030442,32,13.721590909090907,0.00819212209628549,1
4,P099,0.030609644911131665,33,12.02840909090909,0.008977668050723826,1
5,P116,0.02897027944407116,33,12.551136363636365,0.0014588710582426215,1
6,P092,0.02876444380030312,33,11.962121212121213,0.004432723600044888,1
7,P081,0.02745492477085635,32,11.928030303030305,0.0010099876557064303,1
8,P131,0.02714807344179609,33,11.58901515151515,0.001683312759510717,1
9,P111,0.02704888021591142,34,11.448863636363637,0.0015710919088766694,2
10,P007,0.026941015180623046,33,11.598484848484848,0.00016833127595107172,1
11,P094,0.025739043428632553,30,11.204545454545457,0.00011222085063404781,1
12,P018,0.025646918236715395,31,10.861742424242424,0.0032544046683873865,1
13,P087,0.024798269312753744,32,10.68560606060606,5.6110425317023906e-05,1
14,P103,0.02469355936238617,32,10.34090909090909,0.00011222085063404781,1
15,P072,0.022497746106605564,31,9.42234848484848,0.0,2
16,P098,0.022384455478637922,29,9.606060606060607,0.0,1
17,P117,0.020689775401372627,26,8.84090909090909,0.0,1
18,P088,0.02053093651245281,30,8.664772727272728,0.0,2
19,P041,0.02022837403950758,28,7.517045454545454,0.00460105487599596,2
20,P005,0.020092255339777133,30,8.490530303030301,0.0,1
21,P004,0.018891103317625182,22,7.4109848484848495,0.00022444170126809562,1
22,P071,0.018746281703956095,26,7.257575757575758,0.00022444170126809562,2
23,P077,0.018069744750205344,28,7.503787878787878,0.0,2
24,P048,0.017929532968918513,27,6.929924242424242,0.0005611042531702391,2
25,P056,0.016497604716404154,25,6.518939393939394,0.0,2
26,P106,0.016068065177611508,23,6.602272727272727,0.0,1
27,P025,0.014496846553432821,23,5.863636363636363,0.0,1
28,P133,0.01333603524290883,20,5.28030303030303,0.0,2
29,P091,0.013206212601357837,21,5.2272727272727275,0.0,1
30,P121,0.013128489638677958,20,4.907196969696971,0.0,2
31,P049,0.012871632702785603,21,5.013257575757576,0.0,2
32,P066,0.012330951540751572,19,4.778409090909092,0.0,1
33,P022,0.007714198855701186,11,2.471590909090909,0.0,2
34,P059,0.006219508765208138,8,1.7784090909090906,0.0,1
35,P001,0.005569393483152957,6,1.4583333333333333,0.0,2
36,P060,0.0054565338114445725,5,1.0965909090909092,0.0,2
37,P037,0.005404199406165756,5,1.0757575757575757,0.0,2
38,P043,0.004889425368549782,5,1.1174242424242424,0.0,2
39,P002,0.004055447728847745,3,0.6893939393939394,0.0,1
40,P044,0.0035655793037461985,2,0.43181818181818177,0.0,2
41,P078,0.0035231071342023174,2,0.4071969696969697,0.0,1
42,P053,0.0031441173361634422,1,0.2196969696969697,0.0,2
43,P084,0.0030840327583611746,1,0.20454545454545456,0.0,1
44,P003,0.0026416109721166003,0,0.0,0.0,3
45,P006,0.0026416109721166003,0,0.0,0.0,4
46,P008,0.0026416109721166003,0,0.0,0.0,5
47,P009,0.0026416109721166003,0,0.0,0.0,6
48,P010,0.0026416109721166003,0,0.0,0.0,7
49,P011,0.0026416109721166003,0,0.0,0.0,8
50,P012,0.0026416109721166003,0,0.0,0.0,9
51,P014,0.0026416109721166003,0,0.0,0.0,10
52,P016,0.0026416109721166003,0,0.0,0.0,11
53,P017,0.0026416109721166003,0,0.0,0.0,12
54,P019,0.0026416109721166003,0,0.0,0.0,13
55,P020,0.0026416109721166003,0,0.0,0.0,14
56,P021,0.0026416109721166003,0,0.0,0.0,15
57,P023,0.0026416109721166003,0,0.0,0.0,16
58,P024,0.0026416109721166003,0,0.0,0.0,17
59,P026,0.0026416109721166003,0,0.0,0.0,18
60,P027,0.0026416109721166003,0,0.0,0.0,19
61,P028,0.0026416109721166003,0,0.0,0.0,20
62,P029,0.0026416109721166003,0,0.0,0.0,21
63,P030,0.0026416109721166003,0,0.0,0.0,22
64,P031,0.0026416109721166003,0,0.0,0.0,23
65,P032,0.0026416109721166003,0,0.0,0.0,24
66,P033,0.0026416109721166003,0,0.0,0.0,25
67,P034,0.0026416109721166003,0,0.0,0.0,26
68,P035,0.0026416109721166003,0,0.0,0.0,27
69,P036,0.0026416109721166003,0,0.0,0.0,28
70,P038,0.0026416109721166003,0,0.0,0.0,29
71,P039,0.0026416109721166003,0,0.0,0.0,30
72,P040,0.0026416109721166003,0,0.0,0.0,31
73,P042,0.0026416109721166003,0,0.0,0.0,32
74,P045,0.0026416109721166003,0,0.0,0.0,33
